Пакет,Версия,Идентификатор MITRE,Идентификатор ФСТЭК
389-ds-base,2.4.5+dfsg1-1.astra3,CVE-2024-2199,НЕ ПРИСВОЕН
389-ds-base,2.4.5+dfsg1-1.astra3,CVE-2024-5953,BDU:2025-03459
389-ds-base,2.4.5+dfsg1-1.astra3,CVE-2024-6237,НЕ ПРИСВОЕН
abseil,20220623.1-1+deb12u2,CVE-2025-0838,НЕ ПРИСВОЕН
amd64-microcode,3.20250311.1,CVE-2024-56161,BDU:2025-02682
ansible-core,2.18.3-1,CVE-2024-0690,BDU:2024-01561
ansible-core,2.18.3-1,CVE-2024-11079,BDU:2025-09015
ansible-core,2.18.3-1,CVE-2024-8775,BDU:2025-09010
ansible-core,2.18.3-1,CVE-2024-9902,НЕ ПРИСВОЕН
ark,4:23.08.1-2astra9,CVE-2024-57966,BDU:2025-04326
augeas,1.14.0-1.astra2,CVE-2025-2588,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-0840,BDU:2025-03384
binutils,2.40-2.astra2,CVE-2025-1153,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-1176,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-1178,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-1181,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-1182,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-3198,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-5244,НЕ ПРИСВОЕН
binutils,2.40-2.astra2,CVE-2025-5245,НЕ ПРИСВОЕН
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0444,BDU:2025-01274
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0445,BDU:2025-01273
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0451,BDU:2025-02318
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0995,BDU:2025-01590
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0997,BDU:2025-01588
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-0999,BDU:2025-03316
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1006,BDU:2025-03304
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1914,BDU:2025-02674
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1916,BDU:2025-02675
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1918,BDU:2025-02673
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1919,BDU:2025-02676
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1920,BDU:2025-02573
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1921,BDU:2025-02677
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-1923,BDU:2025-02671
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-2135,BDU:2025-02572
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-2136,BDU:2025-02574
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-2137,BDU:2025-02571
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-2476,BDU:2025-03995
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3066,BDU:2025-04006
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3069,BDU:2025-04008
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3070,BDU:2025-04668
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3071,BDU:2025-04666
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3072,BDU:2025-04665
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3073,BDU:2025-04663
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3074,BDU:2025-04661
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-3620,BDU:2025-04921
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4050,BDU:2025-05690
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4051,BDU:2025-05691
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4052,BDU:2025-05693
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4096,BDU:2025-05692
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4372,BDU:2025-06211
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4609,BDU:2025-06110
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-4664,BDU:2025-05679
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-5063,BDU:2025-06464
chromium,1:138.0.7204.96-0astragost0+ci9,CVE-2025-5064,BDU:2025-06582
