Пакет,Идентификатор MITRE,Идентификатор ФСТЕК,Оперативное обновление
389-ds-base,CVE-2024-3657,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2025-0114SE18MD (1.8.1.UU2)
389-ds-base,CVE-2024-2199,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
389-ds-base,CVE-2024-5953,BDU:2025-03459,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
389-ds-base,CVE-2024-6237,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
abseil,CVE-2025-0838,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
amd64-microcode,CVE-2024-56161,BDU:2025-02682,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
ansible,CVE-2023-4237,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2024-0905SE18MD (1.8.1.UU1)
ansible-core,CVE-2023-5115,BDU:2023-06096,БЮЛЛЕТЕНЬ №20240628SE18 (1.8.1)
ansible-core,CVE-2023-5764,BDU:2023-07854,БЮЛЛЕТЕНЬ №20240628SE18 (1.8.1)
ansible-core,CVE-2024-0690,BDU:2024-01561,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
ansible-core,CVE-2024-11079,BDU:2025-09015,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
ansible-core,CVE-2024-8775,BDU:2025-09010,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
ansible-core,CVE-2024-9902,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №2025-0811SE18 (1.8.3)
aom,CVE-2023-39616,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №20240628SE18 (1.8.1)
aom,CVE-2023-6879,НЕ ПРИСВОЕН,БЮЛЛЕТЕНЬ №20240628SE18 (1.8.1)
aom,CVE-2024-5171,BDU:2024-04523,БЮЛЛЕТЕНЬ №20240628SE18 (1.8.1)
