"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.003";"Угроза использования слабостей криптографических алгоритмов и уязвимостей в программном обеспечении их реализации";"Метаданные, системное программное обеспечение";"Прямая";"Код и выполнение";"";"Криптографические алгоритмы и их программная реализация";"Описание прямо связывает угрозу с ошибками криптографического кода, алгоритмов и параметров их настройки.";"";"ПО реализует или использует криптографические функции; нарушителю известны применяемые средства и параметры.";"Угроза заключается в возможности выявления слабых мест в криптографических алгоритмах или уязвимостей в реализующем их программном обеспечении.
Данная угроза обусловлена слабостями криптографических алгоритмов, а также ошибками в программном коде криптографических средств, их сопряжении с системой или параметрах их настройки.
Реализация угрозы возможна в случае наличия у нарушителя сведений об применяемых в системе средствах шифрования, реализованных в них алгоритмах шифрования и параметрах их настройки";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2020-11-29 00:00:00";"";"thrlist.xlsx · Sheet · строка 5"
"УБИ.005";"Угроза внедрения вредоносного кода в BIOS";"Микропрограммное и аппаратное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Код BIOS/UEFI и механизм обновления прошивки";"Программная ветвь сценария — установка прошивки с вредоносным кодом через механизм обновления.";"";"Объект анализа — BIOS/UEFI или его обновляющее ПО; рассматривается установка заражённого обновления, а не замена микросхемы.";"Угроза заключается в возможности заставить BIOS/UEFI выполнять вредоносный код при каждом запуске компьютера, внедрив его в BIOS/UEFI путём замены микросхемы BIOS/UEFI или обновления программного обеспечения BIOS/UEFI на версию, уже содержащую вредоносный код.
Данная угроза обусловлена слабостями технологий контроля за обновлением программного обеспечения BIOS/UEFI и заменой чипсета BIOS/UEFI.
Реализация данной угрозы возможна в ходе проведения ремонта и обслуживания компьютера";"Внутренний нарушитель с высоким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 7"
"УБИ.006";"Угроза внедрения кода или данных";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение";"Прямая";"Код и выполнение";"";"Исполняемый код и входные данные приложения";"Внедрение кода или данных непосредственно использует уязвимости ПО и недостатки разграничения доступа.";"";"ПО принимает недоверенные файлы или данные либо допускает установку кода; для IoT возможна отдельная ветвь с заводскими учётными данными.";"Угроза заключается в возможности внедрения нарушителем в дискредитируемую информационную систему или IoT-устройство вредоносного кода, который может быть в дальнейшем запущен «вручную» пользователями, автоматически при выполнении определённого условия (наступления определённой даты, входа пользователя в систему и т.п.) или с использованием аутентификационных данных, заданных «по умолчанию», а также в возможности несанкционированного внедрения нарушителем некоторых собственных данных для обработки в дискредитируемую информационную систему, фактически осуществив незаконное использование чужих вычислительных ресурсов, и блокирования работы устройства при выполнении определенных команд.
Данная угроза обусловлена:
наличием уязвимостей программного обеспечения;
слабостями мер антивирусной защиты и разграничения доступа;
наличием открытого Telnet-порта на IoT-устройстве (только для IoT-устройств).
Реализация данной угрозы возможна:
в случае работы дискредитируемого пользователя с файлами, поступающими из недоверенных источников;
при наличии у него привилегий установки программного обеспечения;
в случае неизмененных владельцем учетных данных IoT-устройства (заводских пароля и логина)";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 8"
"УБИ.007";"Угроза воздействия на программы с высокими привилегиями";"Информационная система, виртуальная машина, сетевое программное обеспечение, сетевой трафик";"Прямая";"Код и выполнение";"";"Программа с повышенными привилегиями и обработчик входных данных";"Ошибки программы позволяют выполнить произвольный код с её повышенными привилегиями.";"";"Программа работает с повышенными правами и принимает данные, которыми может управлять нарушитель.";"Угроза заключается в возможности повышения нарушителем своих привилегий в дискредитированной системе (получения привилегии дискредитированных программ) путём использования ошибок в программах и выполнения произвольного кода с их привилегиями.
Данная угроза обусловлена слабостями механизма проверки входных данных и команд, а также мер по разграничению доступа.
Реализация данной угрозы возможна при условиях:
обладания дискредитируемой программой повышенными привилегиями в системе;
осуществления дискредитируемой программой приёма входных данных от других программ или от пользователя;
нарушитель имеет возможность осуществлять передачу данных к дискредитируемой программе";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 9"
"УБИ.008";"Угроза восстановления и/или повторного использования аутентификационной информации";"Системное программное обеспечение, микропрограммное обеспечение, учётные данные пользователя";"Прямая";"Доступ и учетные данные";"";"Механизм аутентификации, пароли и их хэши";"Подбор или повторное использование аутентификационных данных затрагивает программную аутентификацию.";"";"ПО аутентифицирует пользователей по паролям или хэшам и допускает их подбор либо повторное предъявление.";"Угроза заключается в возможности доступа к данным пользователя в результате подбора (например, путём полного перебора или перебора по словарю) аутентификационной информации дискредитируемой учётной записи пользователя в системе, а также путём перехвата и повторного использования хэша пароля, для восстановления сеанса.
Данная угроза обусловлена следующими недостатками:
значительно меньшим объёмом данных хеш-кода аутентификационной информации по сравнению с ней самой (время подбора хеш-кодов меньше времени полного перебора аутентификационной информации); 
слабостями алгоритма расчёта хеш-кода, допускающими его повторное использование для выполнения успешной аутентификации.
Реализация данной угрозы возможна с помощью специальных программных средств, а также в некоторых случаях – «вручную»";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-11-15 00:00:00";"";"thrlist.xlsx · Sheet · строка 10"
"УБИ.009";"Угроза восстановления предыдущей уязвимой версии BIOS";"Микропрограммное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Механизм обновления и отката BIOS/UEFI";"Откат программной прошивки возвращает известные уязвимости из предыдущей версии.";"";"Анализируется BIOS/UEFI с сохранением предыдущей версии и процедурой отката после сбоя.";"Угроза заключается в возможности осуществления вынужденного перехода на использование BIOS/UEFI, содержащей уязвимости.
Данная угроза обусловлена слабостями технологий контроля за обновлением программного обеспечения BIOS/UEFI.
При использовании технологии обновления BIOS/UEFI возможно возникновение следующей ситуации (условия, характеризующие ситуацию указаны в хронологическом порядке): 
на компьютере установлена некоторая версия BIOS/UEFI, для которой на момент её работы не известны уязвимости; 
в силу некоторых обстоятельств BIOS/UEFI проходит процедуру обновления, сохраняя при этом предыдущую версию BIOS/UEFI на случай «отката» системы; 
публикуются данные о существовании уязвимостей в предыдущей версии BIOS/UEFI; 
происходит сбой в работе системы, в результате чего текущая (новая) версия BIOS/UEFI становится неработоспособной (например, нарушается её целостность);
пользователь осуществляет штатную процедуру восстановления работоспособности системы – проводит «откат» системы к предыдущему работоспособному состоянию";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 11"
"УБИ.010";"Угроза выхода процесса за пределы виртуальной машины";"Информационная система, сетевой узел, носитель информации, объекты файловой системы, учётные данные пользователя, образ виртуальной машины";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Гипервизор и изоляция виртуальной среды";"Угроза прямо использует уязвимости кода гипервизора и нарушение границ виртуальной среды.";"";"ПО реализует гипервизор или включает его в анализируемый компонент; возможен запуск вредоносного кода и нижележащего гипервизора.";"Угроза заключается в возможности запуска вредоносной программой собственного гипервизора, функционирующего по уровню логического взаимодействия ниже компрометируемого гипервизора.
Данная угроза обусловлена уязвимостями программного обеспечения гипервизора, реализующего функцию изолированной программной среды для функционирующих в ней программ, а также слабостями инструкций аппаратной поддержки виртуализации на уровне процессора.
Реализация данной угрозы приводит не только к компрометации гипервизора, но и запущенных в созданной им виртуальной среде средств защиты, а, следовательно, к их неспособности выполнять функции безопасности в отношении вредоносных программ, функционирующих под управлением собственного гипервизора";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 12"
"УБИ.012";"Угроза деструктивного изменения конфигурации/среды окружения программ";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение, микропрограммное обеспечение, метаданные, объекты файловой системы, реестр";"Прямая";"Код и выполнение";"";"Конфигурационные файлы, библиотеки и окружение приложения";"Подмена конфигурации или библиотек меняет поведение конкретного приложения.";"";"Нарушитель может записывать используемые приложением файлы либо перенаправлять обращения к ним; контроль целостности недостаточен.";"Угроза заключается в возможности деструктивного программного воздействия на дискредитируемое приложение путём осуществления манипуляций с используемыми им конфигурационными файлами или библиотеками.
Данная угроза обусловлена слабостями мер контроля целостности конфигурационных файлов или библиотек, используемых приложениями.
Реализация данной угрозы возможна в случае наличия у нарушителя прав осуществления записи в файловые объекты, связанные с конфигурацией/средой окружения программы, или возможности перенаправления запросов дискредитируемой программы от защищённых файловых объектов к ложным";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 14"
"УБИ.013";"Угроза деструктивного использования декларированного функционала BIOS";"Микропрограммное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Функции тестирования и обслуживания в BIOS/UEFI";"Неправомерное использование функций прошивки нарушает целостность обрабатываемой информации.";"";"Объект анализа — BIOS/UEFI с функциями обслуживания памяти, RAID или иными административными функциями.";"Угроза заключается в возможности неправомерного использования декларированного функционала BIOS/UEFI для нарушения целостности информации, хранимой на внешних носителях информации и в оперативном запоминающем устройстве компьютера.
Данная угроза обусловлена уязвимостями программного обеспечения BIOS/UEFI, предназначенного для тестирования и обслуживания компьютера (средств проверки целостности памяти, программного обеспечения управления RAID-контроллером и т.п.).
Реализации данной угрозы может способствовать возможность обновления некоторых BIOS/UEFI без прохождения аутентификации";"Внутренний нарушитель с низким потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 15"
"УБИ.014";"Угроза длительного удержания вычислительных ресурсов пользователями";"Информационная система, сетевой узел, носитель информации, системное программное обеспечение, сетевое программное обеспечение, сетевой трафик";"Прямая";"Код и выполнение";"";"Обработчики запросов и механизм распределения ресурсов";"Уязвимости программного распределения ресурсов позволяют удерживать их и блокировать обслуживание пользователей.";"";"Нарушитель может отправлять длительные или многочисленные запросы; ПО распределяет ограниченные вычислительные ресурсы между задачами.";"Угроза заключается в возможности ограничения нарушителем доступа конечных пользователей к вычислительному ресурсу за счёт принудительного удержания его в загруженном состоянии путём осуществления им многократного выполнения определённых деструктивных действий или эксплуатации уязвимостей программ, распределяющих вычислительные ресурсы между задачами. 
Данная угроза обусловлена слабостями механизмов балансировки нагрузки и распределения вычислительных ресурсов.
Реализация угрозы возможна в случае, если у нарушителя имеется возможность делать запросы, которые в совокупности требуют больше времени на выполнение, чем запросы пользователя";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 16"
